31, the Ville, Chef Pepper House
32, the Ville, Japanese Snack
33, the Ville, English Tea 
34, the Ville, Healthy Sandwich
35, the Ville, Ice Cat
36, the Ville, The Oyster Corner
41, the Ville, Chai Chai House
42, the Ville, Big Hanbear House
43, the Ville, Uncle Meow House
44, the Ville, Main Gym
45, the Ville, The Library
46, the Ville, Wework Building
47, the Ville, Grocery Store
48, the Ville, Central Park
49, the Ville, Meow Sweet Parfait
51, the Ville, Ni Ni and Miss Hua House
53, the Ville, Dun Dun and Big Strong House
55, the Ville, Mary Mary and Pei Pei House
57, the Ville, NPC1 House 
59, the Ville, NPC2 House 
60, the Ville, Rui Rui House 
